companyId,userId
586360,176848
164567,176848
453099,176848
193195,176848
546485,176848
587279,176848
542839,176848
589862,176848
567929,176848
577703,176848
578957,176848
581210,176848
587946,176848
526956,176848
588212,176848
589974,176848
562783,176848
583160,176848
452697,176848
588390,635307
448631,635307
558924,635307
586878,635307
568278,635307
442447,635307
571433,635307
543898,635307
571681,635307
554009,635307
457303,635307
588616,635307
542686,635307
549617,635307
565980,635307
546859,635307
545964,635307
542929,635307
570928,635307
553130,635307
557689,635307
559106,635307
83061,635307
586589,635307
194385,635307
558293,635307
586853,635307
526911,635307
556877,635307
187378,635307
569963,635307
187774,635307
570706,635307
555209,635307
226558,635307
545685,635307
186622,635307
182381,635307
523073,635307
173958,635307
586200,635307
150683,635307
549926,635307
585115,635307
543384,635307
585963,635307
585557,635307
164828,635307
586108,635307
554714,635307
239752,635307
551594,635307
585508,635307
446447,587825
446163,587825
466022,587825
446289,587825
466546,587825
445733,587825
426695,587825
441419,587825
445517,587825
434635,587825
440738,587825
444944,587825
558523,587825
446036,587825
463669,587825
445809,587825
508872,587825
571445,587825
183049,587825
233317,587825
244216,587825
584451,587825
112339,587825
469046,587825
463662,587825
520279,587825
440946,587825
448847,587825
523261,587825
443629,587825
441087,587825
347079,587825
580757,587825
433891,587825
435863,587825
444123,587825
205559,587825
